,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1080,5,2018,7560,0,8623,0,145.0,60.1,1.0
1081,5,2019,9800,0,691,0,145.0,49.6,1.0
1082,15,2019,33900,2,1173,2,145.0,39.2,2.2
1083,12,2019,20970,0,575,0,145.0,34.9,1.6
1084,5,2016,5990,0,23315,0,20.0,60.1,1.0
1085,5,2016,6750,0,16422,0,20.0,60.1,1.0
1086,15,2019,33995,2,6363,2,145.0,42.8,2.2
1087,13,2018,16995,2,32672,2,145.0,28.0,2.5
1088,14,2018,16995,3,9192,3,135.0,78.5,1.6
1089,10,2018,10950,0,38687,0,145.0,52.3,1.4
1090,5,2017,8995,0,11086,0,30.0,57.7,1.2
1091,15,2016,15995,2,42812,2,235.0,42.2,2.2
1092,12,2020,24495,3,2500,0,145.0,36.2,1.6
1093,14,2017,17870,2,6467,3,135.0,78.5,1.6
1094,11,2017,11980,0,20401,0,145.0,52.3,1.0
1095,11,2019,14680,0,8550,0,145.0,44.1,1.0
1096,7,2018,8970,0,10248,0,145.0,58.9,1.2
1097,7,2019,11670,0,2928,0,145.0,47.9,1.0
1098,14,2017,16970,2,13789,3,135.0,78.5,1.6
1099,5,2019,9770,0,17401,0,145.0,57.6,1.2
1100,5,2016,7970,0,12552,0,30.0,57.6,1.2
1101,5,2020,12495,0,2100,0,145.0,56.5,1.0
1102,10,2018,11455,0,10014,0,145.0,56.5,1.0
1103,14,2019,16498,2,7192,3,140.0,78.5,1.6
1104,12,2017,15998,3,5060,2,125.0,57.6,1.7
1105,14,2019,17270,2,5931,3,135.0,78.5,1.6
1106,7,2016,7970,0,10916,0,30.0,56.5,1.2
1107,14,2019,18570,2,961,3,135.0,78.5,1.6
1108,11,2020,20970,0,1000,0,145.0,44.1,1.0
1109,15,2019,35495,3,25,2,145.0,39.8,2.2
1110,8,2017,9670,0,7609,0,145.0,50.4,1.4
1111,12,2016,13495,0,17103,2,30.0,61.7,1.7
1112,5,2017,6970,0,18044,0,145.0,60.1,1.0
1113,7,2017,7870,0,30314,0,145.0,58.9,1.2
1114,7,2018,8980,0,12185,0,145.0,55.4,1.2
1115,14,2019,21780,2,4489,3,135.0,62.8,1.6
1116,12,2019,25980,2,5792,3,145.0,50.4,1.6
1117,5,2018,8280,0,5685,0,145.0,60.1,1.0
1118,5,2014,5580,0,31575,0,30.0,57.6,1.2
1119,7,2020,12980,0,1298,0,145.0,46.3,1.2
1120,14,2018,13495,2,29248,3,135.0,78.5,1.6
1121,12,2016,15995,0,36238,2,150.0,54.3,2.0
1122,10,2018,14550,3,9870,2,145.0,68.9,1.6
1123,15,2019,32570,3,9923,2,145.0,39.2,2.2
1124,10,2019,24970,0,1500,0,145.0,34.0,2.0
1125,5,2020,13495,0,1600,0,145.0,53.3,1.0
1126,7,2016,6980,0,31163,0,30.0,55.4,1.2
1127,5,2019,7698,0,3655,0,150.0,60.1,1.0
1128,12,2017,11998,0,24049,2,150.0,61.7,1.7
1132,5,2015,6995,0,18374,0,30.0,57.6,1.2
1133,5,2019,9195,0,2323,0,145.0,49.6,1.0
1134,15,2018,31995,3,9176,2,145.0,39.2,2.2
1135,7,2016,7175,0,26543,0,30.0,55.4,1.2
1136,6,2013,6999,0,55472,2,145.0,53.3,1.7
1137,10,2018,11298,0,17704,0,150.0,56.5,1.0
1138,12,2017,15698,3,16768,2,125.0,57.6,1.7
1139,11,2018,12498,0,17789,0,145.0,52.3,1.0
1140,12,2019,15498,0,14231,0,145.0,34.9,1.6
1141,12,2017,13498,0,21025,2,30.0,61.7,1.7
1142,12,2016,11823,0,46601,2,30.0,61.7,1.7
1144,14,2019,15970,2,8601,3,135.0,78.5,1.6
1145,11,2017,12470,0,22300,2,150.0,74.3,1.0
1146,11,2019,14470,0,20490,0,150.0,44.1,1.0
1147,8,2018,10350,0,10612,0,150.0,50.4,1.4
1148,5,2017,7998,0,19625,0,145.0,57.7,1.2
1149,12,2015,10995,0,54411,2,30.0,61.7,1.7
1151,12,2017,15498,3,14376,2,125.0,57.6,1.7
1152,12,2018,16780,3,33530,0,145.0,39.8,1.6
1153,11,2020,25280,2,2083,3,135.0,52.3,1.6
1154,14,2019,22680,2,4868,3,135.0,62.8,1.6
1156,12,2020,25180,2,978,0,145.0,35.8,1.6
1157,12,2020,25980,2,1298,3,145.0,50.4,1.6
1158,10,2020,25280,0,2148,0,145.0,34.0,2.0
1159,12,2017,13791,0,50313,2,125.0,58.9,2.0
1160,10,2019,16980,0,2180,0,145.0,42.2,1.4
1161,15,2018,20842,0,21588,2,145.0,47.1,2.2
1162,12,2017,13698,0,15040,2,145.0,61.7,1.7
1163,5,2016,5998,0,26753,0,20.0,60.1,1.0
1164,5,2017,5698,0,31037,0,20.0,60.1,1.0
1165,10,2017,13488,3,17845,0,145.0,51.4,1.4
1166,5,2015,6995,0,36188,0,30.0,57.6,1.2
1167,6,2015,10495,2,39661,2,265.0,41.5,2.0
1168,8,2016,8470,0,21941,0,125.0,50.4,1.4
1169,8,2013,5995,0,15566,0,145.0,45.6,1.4
1170,5,2017,7795,0,16609,0,30.0,57.7,1.2
